количество вершин; время; итерации; negativeCycle
100; 876500; 20000; false
250; 3258500; 124501; true
400; 2648900; 319201; true
550; 3538400; 605000; false
700; 4724900; 978601; true
850; 2912400; 1443301; true
1000; 2780200; 2000000; false
1150; 5099600; 2642705; true
1300; 6681900; 3377401; true
1450; 3698100; 4202101; true
1600; 4470500; 5116803; true
1750; 5473500; 6121501; true
1900; 7947100; 7216205; true
2050; 12346700; 8400904; true
2200; 5745400; 9680000; false
2350; 9493400; 11040301; true
2500; 21810000; 12495003; true
2650; 46861300; 14039702; true
2800; 14352700; 15674401; true
2950; 15659900; 17399101; true
3100; 16894900; 19213805; true
3250; 59108100; 21118503; true
3400; 89499000; 23113208; true
3550; 27615100; 25197905; true
3700; 89691900; 27372601; true
3850; 28111200; 29637303; true
4000; 83496500; 31992005; true
4150; 109514900; 34436705; true
4300; 24294900; 36980000; false
4450; 32432000; 39605000; false
4600; 176532900; 42310802; true
4750; 29355700; 45125000; false
4900; 29900100; 48020000; false
5050; 34012000; 51005000; false
5200; 71938000; 54069601; true
5350; 54469600; 57234302; true
5500; 108715300; 60489002; true
5650; 268944700; 63833701; true
5800; 88190000; 67268402; true
5950; 322187700; 70793101; true
6100; 334880100; 74407801; true
6250; 401887500; 78112502; true
6400; 339502800; 81907203; true
6550; 376504200; 85791901; true
6700; 190862200; 89766601; true
6850; 68181300; 93845000; false
7000; 427746300; 97986002; true
7150; 74551500; 102245000; false
7300; 587840400; 106565407; true
7450; 553097200; 110990101; true
7600; 515751700; 115504804; true
7750; 560091900; 120109503; true
7900; 555641600; 124804205; true
8050; 325984600; 129588907; true
8200; 696521000; 134463601; true
8350; 599405100; 139428301; true
8500; 664177400; 144483001; true
8650; 671649300; 149627701; true
8800; 108757100; 154880000; false
8950; 666877300; 160187102; true
9100; 116590000; 165620000; false
9250; 502085000; 171106501; true
9400; 124198200; 176720000; false
9550; 595526000; 182385901; true
9700; 592183000; 188160604; true
9850; 848193800; 194025302; true
10000; 894864400; 199980002; true
